Wall time,Step,Value
1764095791.668263,19,11.623729705810547
1764095877.1455653,48,14.032607078552246
1764095921.3700843,63,16.29718017578125
1764095924.3495526,64,13.71442985534668
1764096000.7447946,90,14.866132736206055
1764096041.6525748,104,15.98432731628418
1764096053.296909,108,16.679882049560547
1764096115.2343402,129,17.880447387695312
1764096220.9169438,165,18.589706420898438
1764096244.5702682,173,17.86506462097168
1764096300.425102,192,18.50157356262207
1764096362.0401933,204,15.885815620422363
1764096483.014562,245,19.76690101623535
1764096527.0533054,260,18.699739456176758
1764096594.5046873,283,18.951831817626953
1764096603.276576,286,19.058448791503906
1764096702.7377794,320,21.508018493652344
1764096840.830524,367,18.034793853759766
1764096899.3922696,387,20.953083038330078
1764096974.5881176,403,20.231277465820312
1764097012.808665,416,19.151975631713867
1764097077.374315,438,20.92099380493164
1764097159.2258313,466,21.08063507080078
1764097188.5162091,476,19.750356674194336
1764097205.775458,482,20.79227066040039
1764097290.8471465,511,21.537343978881836
1764097358.1082497,534,19.65436553955078
1764097372.778911,539,19.882583618164062
1764097378.7258086,541,21.463237762451172
1764097425.4203634,557,21.405208587646484
1764097443.0835006,563,21.166698455810547
1764097536.466791,595,21.311634063720703
1764097542.3260353,597,19.326580047607422
1764097671.7012258,638,19.913909912109375
1764097689.4552743,644,20.0439453125
1764097692.3442018,645,20.590030670166016
1764097733.5934188,659,21.955127716064453
1764097783.4133124,676,20.6279296875
1764097918.6908143,722,20.749109268188477
1764098045.0477977,765,22.005329132080078
1764098077.4506016,776,22.796890258789062
1764098173.2219243,805,22.28184700012207
1764098328.8144162,858,22.321475982666016
1764098355.1604888,867,23.171600341796875
1764098414.2128954,887,21.848037719726562
1764098578.9251144,943,23.23351287841797
1764098745.8935957,1000,22.25170135498047
1764098833.580895,1016,22.83806800842285
1764098866.0498698,1027,24.083349227905273
1764098898.5702152,1038,22.629180908203125
1764098954.2604733,1057,25.083036422729492
1764098997.9736848,1072,22.868915557861328
1764099015.3813229,1078,23.046894073486328
1764099109.2633553,1110,24.109203338623047
1764099115.0849514,1112,22.007083892822266
1764099156.3246267,1126,21.302034378051758
1764099176.9703894,1133,22.916488647460938
1764099232.5913055,1152,24.276996612548828
1764099235.5579119,1153,22.591764450073242
1764099270.825329,1165,25.056114196777344
1764099299.966504,1175,24.81560707092285
1764099305.7929065,1177,24.235708236694336
1764099329.315941,1185,23.413076400756836
1764099455.4080057,1219,22.780929565429688
1764099555.5375552,1253,23.70149803161621
1764099561.4428387,1255,21.246871948242188
1764099570.1857302,1258,22.930912017822266
1764099581.984518,1262,22.809343338012695
1764099599.5686612,1268,22.999568939208984
1764099610.9829438,1272,23.101905822753906
1764099769.6291084,1326,22.588695526123047
1764099828.2284286,1346,20.702129364013672
1764099915.977482,1376,22.126399993896484
1764099918.9504092,1377,22.54916000366211
1764100049.5872138,1418,24.04898452758789
1764100166.7703526,1458,24.018136978149414
1764100169.5705256,1459,25.716875076293945
1764100274.733653,1495,23.245159149169922
1764100298.311098,1503,24.579553604125977
1764100321.7967055,1511,24.054899215698242
1764100330.6624777,1514,24.175174713134766
1764100432.5204475,1549,23.759939193725586
1764100441.4241538,1552,22.667512893676758
1764100482.5267808,1566,23.259403228759766
1764100491.3365452,1569,24.269996643066406
1764100541.348693,1586,25.08652114868164
1764100573.519108,1597,22.80010414123535
1764100675.4964223,1628,24.286020278930664
1764100698.9192693,1636,23.928945541381836
1764100801.0293202,1671,22.885372161865234
1764100844.872106,1686,22.207738876342773
1764100894.457675,1703,22.570045471191406
1764100900.2527661,1705,23.78475570678711
1764100920.6232636,1712,22.949350357055664
1764101114.2003882,1778,23.108205795288086
1764101344.957432,1848,24.229995727539062
1764101383.0314977,1861,24.315080642700195
1764101403.5840855,1868,24.51693344116211
1764101497.8529117,1900,23.127845764160156
1764101506.6099472,1903,24.31281089782715
1764101526.8774798,1910,25.362319946289062
1764101617.9305956,1941,23.36998748779297
1764101677.0469012,1961,24.75045394897461
1764101679.8944795,1962,23.304109573364258
1764101731.971187,1980,25.335447311401367
1764102038.8957665,2071,25.107227325439453
1764102065.4707649,2080,24.474140167236328
1764102094.8723123,2090,23.879919052124023
1764102127.0116751,2101,23.949493408203125
1764102457.1981874,2210,24.946624755859375
1764102545.1442645,2240,26.00156021118164
1764102780.2884316,2320,26.792137145996094
1764102896.9358087,2360,24.0054931640625
1764102998.8045642,2395,23.331470489501953
1764103132.258341,2437,25.0435791015625
1764103146.913704,2442,24.665172576904297
1764103184.8501856,2455,25.028846740722656
