Wall time,Step,Value
1764105106.1561701,19,11.355480194091797
1764105134.0850801,48,14.379678726196289
1764105148.335427,63,11.497775077819824
1764105149.3475711,64,15.324308395385742
1764105174.0024204,90,13.916400909423828
1764105187.5609725,104,16.88839340209961
1764105191.2443697,108,15.746038436889648
1764105211.6087284,129,17.59197235107422
1764105246.3055108,165,13.323139190673828
1764105254.0334516,173,16.27956199645996
1764105272.4507961,192,16.682069778442383
1764105292.8644366,204,18.93546485900879
1764105332.6227896,245,18.36066246032715
1764105347.0799348,260,19.987354278564453
1764105368.6867366,283,17.931442260742188
1764105371.6098983,286,20.627687454223633
1764105404.1351285,320,20.625720977783203
1764105449.720026,367,20.113605499267578
1764105469.158064,387,20.573104858398438
1764105487.3423586,403,18.70242691040039
1764105499.6487942,416,20.72080421447754
1764105520.8980443,438,20.6328125
1764105547.8883266,466,21.471187591552734
1764105557.549037,476,19.970224380493164
1764105563.2690582,482,20.836837768554688
1764105591.1163206,511,20.727413177490234
1764105613.5048265,534,20.47794532775879
1764105618.3047326,539,20.55038833618164
1764105620.146897,541,18.816383361816406
1764105635.6121402,557,19.425262451171875
1764105641.323985,563,21.342586517333984
1764105672.0513232,595,20.994354248046875
1764105673.907837,597,17.89321517944336
1764105715.939482,638,20.50777816772461
1764105721.790424,644,22.996309280395508
1764105722.6451764,645,18.88206672668457
1764105735.977606,659,20.396427154541016
1764105752.6845632,676,19.874488830566406
1764105795.9080286,722,19.419815063476562
1764105837.322485,765,20.65863037109375
1764105847.6064334,776,21.83357048034668
1764105878.7938755,805,22.302627563476562
1764105929.3999195,858,21.862945556640625
1764105937.969227,867,21.99359703063965
1764105957.111495,887,19.39287757873535
1764106010.4964721,943,21.39533042907715
1764106065.60441,1000,21.251554489135742
1764106095.7795827,1016,22.60552406311035
1764106106.5444536,1027,21.956260681152344
1764106117.0487237,1038,21.087018966674805
1764106135.0142536,1057,21.73684310913086
1764106149.42758,1072,20.710622787475586
1764106155.1621556,1078,22.969045639038086
1764106185.8125012,1110,20.153900146484375
1764106187.7819824,1112,21.742462158203125
1764106201.4254105,1126,21.09368896484375
1764106208.1555743,1133,25.735794067382812
1764106225.9484606,1152,21.206783294677734
1764106226.927452,1153,21.61260223388672
1764106238.4344923,1165,21.079784393310547
1764106248.3199594,1175,21.2301082611084
1764106250.327964,1177,22.199134826660156
1764106258.0078392,1185,21.543724060058594
1764106293.4288971,1219,22.214746475219727
1764106326.085117,1253,22.070560455322266
1764106328.0800016,1255,22.468366622924805
1764106330.8518224,1258,23.836742401123047
1764106334.7939892,1262,21.314373016357422
1764106340.5487363,1268,21.641971588134766
1764106344.4078531,1272,22.08808135986328
1764106396.1865544,1326,23.805082321166992
1764106415.5817308,1346,22.871662139892578
1764106444.4755397,1376,23.663604736328125
1764106445.4790711,1377,21.050081253051758
1764106487.4972434,1418,23.362905502319336
1764106525.9423397,1458,23.34383773803711
1764106526.8965554,1459,23.616771697998047
1764106561.5503318,1495,24.175634384155273
1764106569.085006,1503,21.61380386352539
1764106576.772206,1511,24.983394622802734
1764106579.7572281,1514,23.67108917236328
1764106612.9171112,1549,22.702341079711914
1764106615.896787,1552,22.548263549804688
1764106629.2097535,1566,23.812562942504883
1764106632.0848682,1569,22.976953506469727
1764106648.395405,1586,21.303916931152344
1764106658.7807033,1597,20.656696319580078
1764106692.3854818,1628,24.261993408203125
1764106699.9028099,1636,21.99142837524414
1764106733.222097,1671,22.328245162963867
1764106747.958073,1686,26.179019927978516
1764106764.368704,1703,23.349206924438477
1764106766.3078759,1705,21.4138240814209
1764106773.1151338,1712,22.842357635498047
1764106835.9225204,1778,21.831405639648438
1764106906.638765,1848,22.90704917907715
1764106919.1451886,1861,23.200876235961914
1764106925.6965866,1868,22.047426223754883
1764106956.150008,1900,22.905664443969727
1764106958.9715858,1903,22.738826751708984
1764106965.710358,1910,24.09615707397461
1764106995.7266538,1941,23.773574829101562
1764107014.8581502,1961,21.638492584228516
1764107015.856889,1962,23.753292083740234
1764107033.114464,1980,25.388019561767578
1764107129.182406,2071,25.602767944335938
1764107137.464258,2080,24.9149227142334
1764107146.9240224,2090,22.23978042602539
1764107157.530663,2101,22.74817657470703
1764107271.09383,2210,22.26926040649414
1764107299.6149251,2240,26.690879821777344
1764107376.2069216,2320,22.934419631958008
1764107414.2068048,2360,24.501243591308594
1764107447.6395323,2395,24.444902420043945
1764107496.5420368,2437,22.601346969604492
1764107501.3289623,2442,25.74697494506836
1764107513.6011474,2455,24.300457000732422
1764107521.0442843,2463,23.999469757080078
1764107523.9651372,2466,24.129405975341797
1764107543.287765,2486,26.106603622436523
1764107560.541263,2504,23.462890625
1764107574.0802405,2518,22.963592529296875
1764107586.7706885,2531,23.810327529907227
1764107631.412665,2578,22.93504524230957
1764107632.409111,2579,23.1485595703125
1764107652.6118476,2600,21.823959350585938
1764107683.2533019,2628,24.15865135192871
1764107690.8699782,2636,23.38861083984375
1764107698.41735,2644,22.790180206298828
1764107736.507812,2685,24.838809967041016
1764107745.3694286,2694,24.007648468017578
1764107759.786519,2709,24.42840576171875
1764107768.5011487,2718,25.7998046875
1764107784.81393,2735,23.504806518554688
1764107790.5474753,2741,22.15591049194336
1764107802.8459857,2754,24.24554443359375
1764107803.8315344,2755,22.744091033935547
1764107804.7933345,2756,23.008405685424805
1764107814.2506032,2766,24.286291122436523
1764107817.1522174,2769,24.08414077758789
1764107833.4427142,2786,23.79349708557129
1764107866.5174773,2813,22.658309936523438
1764107887.766634,2835,23.528705596923828
1764107897.3774593,2845,25.780860900878906
1764107913.6656764,2862,27.0457820892334
1764107971.0450113,2922,23.883956909179688
1764108000.7627432,2953,23.55189323425293
1764108003.6083412,2956,23.73196029663086
1764108010.2971487,2963,25.43006134033203
1764108020.612634,2974,24.60282325744629
1764108087.6132214,3035,22.990205764770508
1764108134.5648305,3084,24.610504150390625
1764108135.575722,3085,24.645299911499023
1764108153.956327,3104,26.22899055480957
1764108154.856544,3105,24.431625366210938
1764108155.7963395,3106,25.796640396118164
1764108169.9910011,3121,23.29222869873047
1764108194.1609502,3146,24.97635269165039
1764108220.879803,3174,23.674331665039062
1764108239.2793047,3193,26.639270782470703
1764108246.0152059,3200,25.961624145507812
1764108266.7335718,3218,25.799667358398438
1764108269.4147513,3221,25.18596649169922
1764108289.3173332,3242,23.780954360961914
1764108312.5869164,3266,24.59495735168457
1764108315.497635,3269,24.29571533203125
1764108350.9882855,3307,25.205888748168945
1764108384.0974686,3341,23.95648765563965
1764108399.5122132,3357,25.592374801635742
1764108449.4513009,3405,25.74213409423828
1764108504.1816916,3462,25.18341827392578
1764108525.1209683,3484,23.69458770751953
1764108526.1228793,3485,24.764209747314453
1764108532.9654994,3492,25.188697814941406
1764108541.6216257,3501,22.907629013061523
1764108566.5113378,3527,24.523983001708984
1764108604.8134873,3567,24.508955001831055
1764108607.6343822,3570,23.541858673095703
1764108641.3542643,3601,22.69111442565918
1764108656.6202345,3617,25.60470962524414
1764108693.2440374,3655,25.966970443725586
1764108696.2219505,3658,26.446191787719727
1764108698.1483617,3660,24.04953956604004
1764108700.093109,3662,23.271846771240234
1764108702.8625412,3665,23.107545852661133
1764108706.6568162,3669,24.5137996673584
1764108709.6078997,3672,25.019119262695312
1764108727.7791853,3691,23.955535888671875
1764108748.9842427,3713,24.794078826904297
1764108796.4323437,3762,23.204341888427734
1764108816.2591143,3783,27.37318229675293
1764108882.2978873,3849,23.914493560791016
1764108884.294961,3851,23.490741729736328
1764108902.3754194,3870,25.512893676757812
1764108933.734731,3903,23.56821060180664
1764108942.3984668,3912,22.823436737060547
1764108946.329389,3916,23.986591339111328
1764108952.1787107,3922,22.193328857421875
1764108963.5136015,3934,24.26529884338379
1764108966.4119108,3937,26.13300132751465
1764109003.603945,3976,24.918312072753906
1764109047.21145,4013,23.50994110107422
1764109049.1133933,4015,24.29212760925293
1764109057.8118505,4024,27.420446395874023
1764109068.4861245,4035,25.88115882873535
1764109074.308302,4041,24.857511520385742
1764109081.0173233,4048,26.061641693115234
1764109116.7160988,4085,24.53331756591797
1764109140.6674585,4110,24.43311309814453
1764109146.4190385,4116,24.719717025756836
1764109152.3071744,4122,24.95121192932129
1764109155.0792732,4125,23.53943634033203
1764109176.0644004,4147,24.66915512084961
1764109209.7533138,4182,26.05930519104004
1764109220.2651167,4193,25.654998779296875
1764109257.6796079,4228,28.164215087890625
1764109286.446731,4258,25.778491973876953
1764109344.925586,4319,25.276586532592773
1764109354.3355174,4329,25.643720626831055
1764109418.4155025,4396,25.70195770263672
1764109472.9414227,4444,28.214950561523438
1764109483.3063385,4455,26.090526580810547
1764109550.69198,4526,22.83277130126953
1764109560.2063773,4536,27.735363006591797
1764109564.0429592,4540,24.84542465209961
1764109588.20407,4565,25.307697296142578
1764109634.559504,4610,25.92181968688965
1764109637.3219376,4613,25.218284606933594
1764109672.8417754,4650,24.247243881225586
1764109707.8279397,4687,25.346599578857422
1764109711.686541,4691,24.173580169677734
1764109713.6876981,4693,24.507122039794922
1764109719.5596333,4699,25.217815399169922
1764109728.1593812,4708,25.918807983398438
1764109750.1043396,4731,26.708498001098633
1764109756.788898,4738,23.522130966186523
1764109793.954436,4777,25.533477783203125
1764109794.8187633,4778,24.78900718688965
1764109827.5391953,4808,27.750640869140625
1764109849.776054,4831,24.039310455322266
1764109851.6813517,4833,24.310434341430664
1764109854.4617255,4836,24.480770111083984
1764109855.3417287,4837,26.387775421142578
1764109862.9597795,4845,24.973108291625977
1764109899.4535112,4883,24.501243591308594
1764109925.8891103,4911,24.239700317382812
1764109944.108249,4930,23.595115661621094
1764109954.4326167,4941,24.884822845458984
1764109962.7823844,4950,23.738967895507812
1764109992.3129969,4981,26.66861343383789
1764110002.897346,4992,25.29384994506836
1764110064.4440603,5048,23.710777282714844
1764110082.7601645,5067,26.733108520507812
1764110095.0445473,5080,25.691930770874023
1764110103.8268678,5089,25.36758041381836
1764110105.7849538,5091,26.764484405517578
1764110145.3056924,5133,23.921403884887695
1764110149.0965378,5137,27.07101058959961
1764110152.9066327,5141,25.888336181640625
1764110163.1332664,5152,26.16814422607422
1764110165.8058946,5155,25.367488861083984
1764110166.7773566,5156,22.887420654296875
1764110197.1759207,5188,23.40078353881836
1764110213.2633684,5201,27.32440757751465
1764110230.4899218,5219,23.644723892211914
1764110237.2898479,5226,23.56011199951172
1764110249.5256512,5239,24.278974533081055
1764110263.7241693,5254,27.49826431274414
1764110272.5323782,5263,28.365673065185547
1764110275.4112074,5266,24.583412170410156
1764110304.1253414,5296,27.64013671875
1764110326.4599836,5320,24.016651153564453
1764110329.210899,5323,26.48404884338379
1764110331.200726,5325,27.114431381225586
1764110335.0465837,5329,25.464141845703125
1764110366.7474744,5363,27.37548828125
1764110374.2120128,5371,27.324665069580078
1764110409.0168815,5404,23.3236026763916
1764110449.4049654,5446,25.50967788696289
1764110457.899301,5455,24.408958435058594
1764110462.700217,5460,25.027488708496094
1764110505.6936386,5505,22.609712600708008
1764110510.4778419,5510,28.051681518554688
1764110521.8928974,5522,26.149215698242188
1764110565.5875118,5568,28.285749435424805
1764110664.7542305,5668,26.37295913696289
1764110725.619188,5731,25.976703643798828
1764110752.3907874,5759,26.166601181030273
1764110774.4012535,5782,25.37545394897461
1764110826.22386,5833,23.72598648071289
1764110861.4998689,5867,28.589990615844727
1764110877.403778,5880,27.667543411254883
1764110943.436604,5949,26.867454528808594
1764110950.9923358,5957,27.49530029296875
1764110958.5600715,5965,26.308443069458008
1764110974.6301098,5982,24.792400360107422
1764110989.594607,5998,26.030214309692383
1764111010.3627055,6010,25.237571716308594
1764111045.0090797,6046,28.29543113708496
1764111052.5353627,6054,26.946985244750977
1764111076.171102,6079,27.267993927001953
1764111107.5970228,6112,24.216463088989258
1764111109.5927706,6114,24.20250701904297
1764111128.8803296,6134,24.174888610839844
1764111133.6893275,6139,23.9494686126709
1764111135.5872414,6141,24.716384887695312
1764111137.49449,6143,24.32110595703125
1764111220.351249,6226,26.710712432861328
1764111237.764586,6244,26.417442321777344
1764111272.052132,6280,25.826557159423828
1764111274.0091193,6282,24.430904388427734
1764111292.0417764,6301,24.867313385009766
1764111322.7968168,6333,27.504165649414062
1764111324.591233,6335,27.653329849243164
1764111347.416697,6359,28.27243995666504
1764111348.3850098,6360,25.14047622680664
1764111353.1309853,6365,26.312965393066406
1764111357.9116337,6370,24.39239501953125
1764111460.211352,6474,25.5148868560791
1764111477.5900977,6492,23.033432006835938
1764111513.0861998,6529,24.08661651611328
1764111515.9222584,6532,25.18260955810547
1764111530.155875,6547,23.207904815673828
1764111534.7989461,6552,25.783432006835938
1764111547.106144,6565,26.930315017700195
1764111551.938719,6570,23.14784049987793
1764111567.006397,6586,25.129940032958984
1764111571.6284962,6591,25.775390625
1764111580.1697986,6600,27.652202606201172
1764111604.339891,6616,24.83931541442871
1764111636.2545733,6650,24.021400451660156
1764111658.7953742,6674,27.129108428955078
1764111703.4128773,6721,24.068992614746094
1764111713.0307891,6731,27.156002044677734
1764111716.9319859,6735,24.64324951171875
1764111732.0456195,6751,25.228336334228516
1764111742.6263204,6762,27.721879959106445
1764111785.891298,6803,23.909271240234375
1764111824.5803325,6843,25.869462966918945
1764111832.066762,6851,29.648740768432617
1764111840.5847518,6860,26.834707260131836
1764111856.3161817,6876,27.23326873779297
1764111895.002443,6917,25.54779815673828
1764111897.714165,6920,26.911331176757812
1764111908.0319846,6931,26.400100708007812
1764111950.888093,6976,25.773574829101562
1764111966.4645,6992,29.061098098754883
1764111971.3099594,6997,28.852283477783203
1764111973.1792808,6999,27.07061004638672
1764112001.3406076,7019,24.296459197998047
1764112011.7133033,7030,26.6293888092041
1764112035.719653,7055,24.61702537536621
1764112096.116322,7118,25.761268615722656
1764112098.9318802,7121,28.77118682861328
1764112104.5490496,7127,27.68354034423828
1764112141.1421638,7165,26.538772583007812
1764112154.3003526,7179,25.756071090698242
1764112156.2941287,7181,25.179176330566406
1764112186.2153926,7208,24.23764991760254
1764112203.3491364,7226,25.368118286132812
1764112230.3022027,7254,27.688493728637695
1764112250.5043006,7275,26.172279357910156
1764112282.6681943,7309,25.82390785217285
1764112307.806623,7335,26.8117733001709
1764112311.634949,7339,24.48929214477539
1764112326.1584258,7354,24.558515548706055
1764112339.5601697,7368,30.546554565429688
1764112396.7570262,7425,25.480802536010742
1764112407.083075,7436,30.90193748474121
1764112408.043038,7437,26.781347274780273
1764112434.8229716,7465,25.6226806640625
1764112438.6429653,7469,27.091960906982422
1764112440.557787,7471,25.351516723632812
1764112451.9213622,7483,25.78986930847168
1764112474.6973004,7507,27.669544219970703
1764112485.75593,7519,25.952070236206055
1764112493.3469174,7527,30.992786407470703
1764112499.0463405,7533,25.947052001953125
1764112509.2584326,7544,27.193708419799805
1764112517.260703,7552,25.524505615234375
1764112519.1605835,7554,27.120885848999023
1764112557.8086374,7594,25.953901290893555
1764112570.064315,7603,24.775373458862305
1764112571.9709594,7605,27.15609359741211
1764112574.7481434,7608,27.705686569213867
1764112604.5642095,7639,25.311298370361328
1764112610.3005176,7645,24.874258041381836
1764112625.8144724,7661,23.697418212890625
1764112690.159983,7728,24.97897720336914
1764112693.0811098,7731,24.452592849731445
1764112717.8289983,7757,26.99756622314453
1764112754.0008655,7795,29.742095947265625
1764112754.9339507,7796,24.56597900390625
1764112782.5606682,7822,26.474809646606445
1764112799.1633658,7839,26.35931968688965
1764112803.0673096,7843,26.340370178222656
1764112810.6663244,7851,27.621610641479492
1764112815.266294,7856,27.2281436920166
1764112816.260872,7857,24.569110870361328
1764112821.965497,7863,29.843538284301758
1764112853.554618,7896,22.871307373046875
1764112859.3681762,7902,26.311424255371094
1764112882.923046,7927,28.006288528442383
1764112885.845021,7930,28.045795440673828
1764112940.725365,7987,27.638954162597656
1764113012.603739,8047,26.46507453918457
1764113020.183107,8055,25.85972785949707
1764113042.9084792,8079,26.874170303344727
1764113059.9929786,8097,26.365741729736328
1764113084.756618,8123,25.43106460571289
1764113105.8215034,8145,25.92897605895996
1764113123.6578846,8164,25.148027420043945
1764113124.6519592,8165,27.684494018554688
1764113151.4311666,8193,24.195575714111328
1764113178.0479553,8217,25.493680953979492
1764113190.3226383,8230,25.517215728759766
1764113215.0141869,8256,26.704416275024414
1764113236.0550392,8278,25.907011032104492
1764113241.6552804,8284,27.486862182617188
1764113249.4565125,8292,26.54994010925293
1764113254.147498,8297,28.68628692626953
1764113307.7555902,8353,28.588932037353516
1764113318.1035154,8364,25.925918579101562
1764113331.2926033,8378,26.063526153564453
1764113350.5508661,8398,25.330856323242188
1764113368.042875,8412,26.060049057006836
1764113372.8965461,8417,29.947711944580078
1764113444.622601,8492,25.3326416015625
1764113473.2552998,8522,25.465129852294922
1764113482.0728643,8531,24.5272274017334
1764113499.299601,8549,22.640148162841797
1764113505.2063076,8555,26.224140167236328
1764113513.6707852,8564,25.149991989135742
1764113569.15339,8619,26.37784767150879
1764113577.6649177,8628,26.32424545288086
1764113608.3587425,8660,26.411785125732422
